The frequencys and magnitudes are:
frequencies[0.00], magnitudes[20.77764]
frequencies[9140.62], magnitudes[0.18585]
frequencies[9187.50], magnitudes[0.18508]
frequencies[9234.38], magnitudes[0.18438]
frequencies[9281.25], magnitudes[0.18333]
frequencies[9328.12], magnitudes[0.18246]
frequencies[9375.00], magnitudes[0.18173]
frequencies[9421.88], magnitudes[0.18074]
frequencies[9468.75], magnitudes[0.18009]
frequencies[9515.62], magnitudes[0.17932]
frequencies[9562.50], magnitudes[0.17852]
frequencies[9609.38], magnitudes[0.17764]
frequencies[9656.25], magnitudes[0.17699]
frequencies[9703.12], magnitudes[0.17617]
frequencies[9750.00], magnitudes[0.17542]
frequencies[9796.88], magnitudes[0.17466]
frequencies[9843.75], magnitudes[0.17397]
frequencies[9890.62], magnitudes[0.17325]
frequencies[9937.50], magnitudes[0.17247]
frequencies[9984.38], magnitudes[0.17172]
frequencies[10031.25], magnitudes[0.17113]
frequencies[10078.12], magnitudes[0.17041]
frequencies[10125.00], magnitudes[0.16970]
frequencies[10171.88], magnitudes[0.16890]
frequencies[10218.75], magnitudes[0.16831]
frequencies[10265.62], magnitudes[0.16771]
frequencies[10312.50], magnitudes[0.16700]
frequencies[10359.38], magnitudes[0.16635]
frequencies[10406.25], magnitudes[0.16571]
frequencies[10453.12], magnitudes[0.16509]
frequencies[10500.00], magnitudes[0.16441]
frequencies[10546.88], magnitudes[0.16385]
frequencies[10593.75], magnitudes[0.16317]
frequencies[10640.62], magnitudes[0.16253]
frequencies[10687.50], magnitudes[0.16201]
frequencies[10734.38], magnitudes[0.16116]
frequencies[10781.25], magnitudes[0.16078]
frequencies[10828.12], magnitudes[0.16011]
frequencies[10875.00], magnitudes[0.15949]
frequencies[10921.88], magnitudes[0.15896]
frequencies[10968.75], magnitudes[0.15848]
frequencies[11015.62], magnitudes[0.15808]
frequencies[11062.50], magnitudes[0.15715]
frequencies[11109.38], magnitudes[0.15659]
frequencies[11156.25], magnitudes[0.15613]
frequencies[11203.12], magnitudes[0.15560]
frequencies[11250.00], magnitudes[0.15504]
frequencies[11296.88], magnitudes[0.15458]
frequencies[11343.75], magnitudes[0.15405]
frequencies[11390.62], magnitudes[0.15353]
frequencies[11437.50], magnitudes[0.15324]
frequencies[11484.38], magnitudes[0.15245]
frequencies[11531.25], magnitudes[0.15174]
frequencies[11578.12], magnitudes[0.15141]
frequencies[11625.00], magnitudes[0.15090]
frequencies[11671.88], magnitudes[0.15042]
frequencies[11718.75], magnitudes[0.14988]
frequencies[11765.62], magnitudes[0.14945]
frequencies[11812.50], magnitudes[0.14911]
frequencies[11859.38], magnitudes[0.14852]
frequencies[11906.25], magnitudes[0.14796]
frequencies[11953.12], magnitudes[0.14758]
frequencies[12000.00], magnitudes[0.14701]
frequencies[12046.88], magnitudes[0.14658]
frequencies[12093.75], magnitudes[0.14623]
frequencies[12140.62], magnitudes[0.14583]
frequencies[12187.50], magnitudes[0.14522]
frequencies[12234.38], magnitudes[0.14477]
frequencies[12281.25], magnitudes[0.14444]
frequencies[12328.12], magnitudes[0.14401]
frequencies[12375.00], magnitudes[0.14336]
frequencies[12421.88], magnitudes[0.14305]
frequencies[12468.75], magnitudes[0.14263]
frequencies[12515.62], magnitudes[0.14227]
frequencies[12562.50], magnitudes[0.14173]
frequencies[12609.38], magnitudes[0.14136]
frequencies[12656.25], magnitudes[0.14105]
frequencies[12703.12], magnitudes[0.14050]
frequencies[12750.00], magnitudes[0.14046]
frequencies[12796.88], magnitudes[0.13987]
frequencies[12843.75], magnitudes[0.14015]
frequencies[12890.62], magnitudes[0.13903]
frequencies[12937.50], magnitudes[0.13916]
frequencies[12984.38], magnitudes[0.13833]
frequencies[13031.25], magnitudes[0.13785]
frequencies[13078.12], magnitudes[0.13732]
frequencies[13125.00], magnitudes[0.13718]
frequencies[13171.88], magnitudes[0.13677]
frequencies[13218.75], magnitudes[0.13692]
frequencies[13265.62], magnitudes[0.13613]
frequencies[13312.50], magnitudes[0.13576]
frequencies[13359.38], magnitudes[0.13542]
frequencies[13406.25], magnitudes[0.13519]
frequencies[13453.12], magnitudes[0.13474]
frequencies[13500.00], magnitudes[0.13435]
frequencies[13546.88], magnitudes[0.13394]
frequencies[13593.75], magnitudes[0.13363]
frequencies[13640.62], magnitudes[0.13312]
frequencies[13687.50], magnitudes[0.13295]
frequencies[13734.38], magnitudes[0.13261]
frequencies[13781.25], magnitudes[0.13231]
frequencies[13828.12], magnitudes[0.13204]
frequencies[13875.00], magnitudes[0.13168]
frequencies[13921.88], magnitudes[0.13130]
frequencies[13968.75], magnitudes[0.13097]
frequencies[14015.62], magnitudes[0.13073]
frequencies[14062.50], magnitudes[0.13063]
frequencies[14109.38], magnitudes[0.13005]
frequencies[14156.25], magnitudes[0.12976]
frequencies[14203.12], magnitudes[0.12939]
frequencies[14250.00], magnitudes[0.12998]
frequencies[14296.88], magnitudes[0.12884]
frequencies[14343.75], magnitudes[0.12865]
frequencies[14390.62], magnitudes[0.12831]
frequencies[14437.50], magnitudes[0.12763]
frequencies[14484.38], magnitudes[0.12765]
frequencies[14531.25], magnitudes[0.12761]
frequencies[14578.12], magnitudes[0.12721]
frequencies[14625.00], magnitudes[0.12693]
frequencies[14671.88], magnitudes[0.12657]
frequencies[14718.75], magnitudes[0.12632]
frequencies[14765.62], magnitudes[0.12606]
frequencies[14812.50], magnitudes[0.12577]
frequencies[14859.38], magnitudes[0.12536]
frequencies[14906.25], magnitudes[0.12546]
frequencies[14953.12], magnitudes[0.12471]
frequencies[15000.00], magnitudes[0.12472]
frequencies[15046.88], magnitudes[0.12460]
frequencies[15093.75], magnitudes[0.12410]
frequencies[15140.62], magnitudes[0.12395]
frequencies[15187.50], magnitudes[0.12373]
frequencies[15234.38], magnitudes[0.12340]
frequencies[15281.25], magnitudes[0.12319]
frequencies[15328.12], magnitudes[0.12302]
frequencies[15375.00], magnitudes[0.12271]
frequencies[15421.88], magnitudes[0.12253]
frequencies[15468.75], magnitudes[0.12229]
frequencies[15515.62], magnitudes[0.12205]
frequencies[15562.50], magnitudes[0.12174]
frequencies[15609.38], magnitudes[0.12163]
frequencies[15656.25], magnitudes[0.12105]
frequencies[15703.12], magnitudes[0.12103]
frequencies[15750.00], magnitudes[0.12090]
frequencies[15796.88], magnitudes[0.12062]
frequencies[15843.75], magnitudes[0.12036]
frequencies[15890.62], magnitudes[0.12018]
frequencies[15937.50], magnitudes[0.11992]
frequencies[15984.38], magnitudes[0.11975]
frequencies[16031.25], magnitudes[0.11952]
frequencies[16078.12], magnitudes[0.11925]
frequencies[16125.00], magnitudes[0.11883]
frequencies[16171.88], magnitudes[0.11890]
frequencies[16218.75], magnitudes[0.11869]
frequencies[16265.62], magnitudes[0.11853]
frequencies[16312.50], magnitudes[0.11813]
frequencies[16359.38], magnitudes[0.11925]
frequencies[16406.25], magnitudes[0.11783]
frequencies[16453.12], magnitudes[0.11770]
frequencies[16500.00], magnitudes[0.11759]
frequencies[16546.88], magnitudes[0.11728]
frequencies[16593.75], magnitudes[0.11709]
frequencies[16640.62], magnitudes[0.11681]
frequencies[16687.50], magnitudes[0.11671]
frequencies[16734.38], magnitudes[0.11654]
frequencies[16781.25], magnitudes[0.11634]
frequencies[16828.12], magnitudes[0.11627]
frequencies[16875.00], magnitudes[0.11599]
frequencies[16921.88], magnitudes[0.11588]
frequencies[16968.75], magnitudes[0.11556]
frequencies[17015.62], magnitudes[0.11586]
frequencies[17062.50], magnitudes[0.11533]
frequencies[17109.38], magnitudes[0.11503]
frequencies[17156.25], magnitudes[0.11485]
frequencies[17203.12], magnitudes[0.11474]
frequencies[17250.00], magnitudes[0.11447]
frequencies[17296.88], magnitudes[0.11439]
frequencies[17343.75], magnitudes[0.11413]
frequencies[17390.62], magnitudes[0.11407]
frequencies[17437.50], magnitudes[0.11381]
frequencies[17484.38], magnitudes[0.11387]
frequencies[17531.25], magnitudes[0.11362]
frequencies[17578.12], magnitudes[0.11347]
frequencies[17625.00], magnitudes[0.11309]
frequencies[17671.88], magnitudes[0.11307]
frequencies[17718.75], magnitudes[0.11296]
frequencies[17765.62], magnitudes[0.11314]
frequencies[17812.50], magnitudes[0.11269]
frequencies[17859.38], magnitudes[0.11258]
frequencies[17906.25], magnitudes[0.11231]
frequencies[17953.12], magnitudes[0.11227]
frequencies[18000.00], magnitudes[0.11218]
frequencies[18046.88], magnitudes[0.11171]
frequencies[18093.75], magnitudes[0.11191]
frequencies[18140.62], magnitudes[0.11204]
frequencies[18187.50], magnitudes[0.11146]
frequencies[18234.38], magnitudes[0.11173]
frequencies[18281.25], magnitudes[0.11098]
frequencies[18328.12], magnitudes[0.11147]
frequencies[18375.00], magnitudes[0.11098]
frequencies[18421.88], magnitudes[0.11076]
frequencies[18468.75], magnitudes[0.11060]
frequencies[18515.62], magnitudes[0.11049]
frequencies[18562.50], magnitudes[0.11067]
frequencies[18609.38], magnitudes[0.11030]
frequencies[18656.25], magnitudes[0.11003]
frequencies[18703.12], magnitudes[0.10998]
frequencies[18750.00], magnitudes[0.11048]
frequencies[18796.88], magnitudes[0.10959]
frequencies[18843.75], magnitudes[0.10975]
frequencies[18890.62], magnitudes[0.10952]
frequencies[18937.50], magnitudes[0.10948]
frequencies[18984.38], magnitudes[0.10926]
frequencies[19031.25], magnitudes[0.10921]
frequencies[19078.12], magnitudes[0.10920]
frequencies[19125.00], magnitudes[0.10904]
frequencies[19171.88], magnitudes[0.10918]
frequencies[19218.75], magnitudes[0.10900]
frequencies[19265.62], magnitudes[0.10870]
frequencies[19312.50], magnitudes[0.10852]
frequencies[19359.38], magnitudes[0.10811]
frequencies[19406.25], magnitudes[0.10838]
frequencies[19453.12], magnitudes[0.10821]
frequencies[19500.00], magnitudes[0.10819]
frequencies[19546.88], magnitudes[0.10827]
frequencies[19593.75], magnitudes[0.10780]
frequencies[19640.62], magnitudes[0.10796]
frequencies[19687.50], magnitudes[0.10781]
frequencies[19734.38], magnitudes[0.10764]
frequencies[19781.25], magnitudes[0.10766]
frequencies[19828.12], magnitudes[0.10766]
frequencies[19875.00], magnitudes[0.10751]
frequencies[19921.88], magnitudes[0.10722]
frequencies[19968.75], magnitudes[0.10725]
frequencies[20015.62], magnitudes[0.10706]
frequencies[20062.50], magnitudes[0.10702]
frequencies[20109.38], magnitudes[0.10699]
frequencies[20156.25], magnitudes[0.10708]
frequencies[20203.12], magnitudes[0.10615]
frequencies[20250.00], magnitudes[0.10666]
frequencies[20296.88], magnitudes[0.10662]
frequencies[20343.75], magnitudes[0.10678]
frequencies[20390.62], magnitudes[0.10639]
frequencies[20437.50], magnitudes[0.10626]
frequencies[20484.38], magnitudes[0.10627]
frequencies[20531.25], magnitudes[0.10581]
frequencies[20578.12], magnitudes[0.10613]
frequencies[20625.00], magnitudes[0.10552]
frequencies[20671.88], magnitudes[0.10598]
frequencies[20718.75], magnitudes[0.10582]
frequencies[20765.62], magnitudes[0.10612]
frequencies[20812.50], magnitudes[0.10611]
frequencies[20859.38], magnitudes[0.10570]
frequencies[20906.25], magnitudes[0.10557]
frequencies[20953.12], magnitudes[0.10558]
frequencies[21000.00], magnitudes[0.10554]
frequencies[21046.88], magnitudes[0.10545]
frequencies[21093.75], magnitudes[0.10539]
frequencies[21140.62], magnitudes[0.10527]
frequencies[21187.50], magnitudes[0.10524]
frequencies[21234.38], magnitudes[0.10533]
frequencies[21281.25], magnitudes[0.10508]
frequencies[21328.12], magnitudes[0.10496]
frequencies[21375.00], magnitudes[0.10508]
frequencies[21421.88], magnitudes[0.10486]
frequencies[21468.75], magnitudes[0.10503]
frequencies[21515.62], magnitudes[0.10500]
frequencies[21562.50], magnitudes[0.10468]
frequencies[21609.38], magnitudes[0.10425]
frequencies[21656.25], magnitudes[0.10472]
frequencies[21703.12], magnitudes[0.10549]
frequencies[21750.00], magnitudes[0.10427]
frequencies[21796.88], magnitudes[0.10428]
frequencies[21843.75], magnitudes[0.10451]
frequencies[21890.62], magnitudes[0.10443]
frequencies[21937.50], magnitudes[0.10446]
frequencies[21984.38], magnitudes[0.10457]
frequencies[22031.25], magnitudes[0.10438]
frequencies[22078.12], magnitudes[0.10489]
frequencies[22125.00], magnitudes[0.10392]
frequencies[22171.88], magnitudes[0.10410]
frequencies[22218.75], magnitudes[0.10399]
frequencies[22265.62], magnitudes[0.10385]
frequencies[22312.50], magnitudes[0.10402]
frequencies[22359.38], magnitudes[0.10427]
frequencies[22406.25], magnitudes[0.10397]
frequencies[22453.12], magnitudes[0.10403]
frequencies[22500.00], magnitudes[0.10393]
frequencies[22546.88], magnitudes[0.10391]
frequencies[22593.75], magnitudes[0.10385]
frequencies[22640.62], magnitudes[0.10385]
frequencies[22687.50], magnitudes[0.10347]
frequencies[22734.38], magnitudes[0.10384]
frequencies[22781.25], magnitudes[0.10345]
frequencies[22828.12], magnitudes[0.10382]
frequencies[22875.00], magnitudes[0.10377]
frequencies[22921.88], magnitudes[0.10391]
frequencies[22968.75], magnitudes[0.10369]
frequencies[23015.62], magnitudes[0.10370]
frequencies[23062.50], magnitudes[0.10359]
frequencies[23109.38], magnitudes[0.10368]
frequencies[23156.25], magnitudes[0.10360]
frequencies[23203.12], magnitudes[0.10355]
frequencies[23250.00], magnitudes[0.10382]
frequencies[23296.88], magnitudes[0.10347]
frequencies[23343.75], magnitudes[0.10343]
frequencies[23390.62], magnitudes[0.10425]
frequencies[23437.50], magnitudes[0.10348]
frequencies[23484.38], magnitudes[0.10305]
frequencies[23531.25], magnitudes[0.10349]
frequencies[23578.12], magnitudes[0.10335]
frequencies[23625.00], magnitudes[0.10373]
frequencies[23671.88], magnitudes[0.10360]
frequencies[23718.75], magnitudes[0.10407]
frequencies[23765.62], magnitudes[0.10333]
frequencies[23812.50], magnitudes[0.10346]
frequencies[23859.38], magnitudes[0.10350]
frequencies[23906.25], magnitudes[0.10353]
frequencies[23953.12], magnitudes[0.10325]
frequencies[24000.00], magnitudes[0.10344]
